case,family,source,method,path,duration,ratio,rho,run,samples,embedded_samples,dimension,delay,target_recurrence_rate,theiler,epsilon,rr,det,lam,mean_diag,max_diag,max_diag_fraction,divergence,mean_vertical,max_vertical,diag_entropy,spectral_entropy,dominant_power_fraction,top5_power_fraction,neighbor_divergence_slope,neighbor_divergence_r2,neighbor_divergence_gain,neighbor_initial_distance,chaos_score,broadband_chaos_score,class,behaviour_family
ratio1_rho4_run03,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio1_rho4_run03\single_body_complete.dat,99.99999999999646,1.0,4.0,3,2001.0,1981.0,3.0,10.0,0.03,50.0,1.4198585269922692,0.030000295157010113,0.9998747831064523,0.9997316780852549,46.61884904086739,1860.0,0.93891973750631,0.0005376344086021505,14.389289392378991,20.0,3.9049590037615594,0.1707437989524963,0.4435081726320521,0.9974126264437575,0.06119163539694114,0.7010886225693855,0.20058885134059667,0.4664973127587684,0.11274335699707434,0.10865514478795218,periodic,periodic
ratio1_rho4_run04,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio1_rho4_run04\single_body_complete.dat,99.99999999999646,1.0,4.0,4,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0503034050719426,0.030000295157010113,0.9998568949788026,0.9995527968087581,39.89650249821556,147.0,0.07420494699646643,0.006802721088435374,11.419987737584304,18.0,4.504247293445436,0.18926622388621,0.4166103571425226,0.9695439811532317,0.40204909448955956,0.9364737411740361,1.4471801927640633,0.3247851402735095,0.554279146195931,0.32406070548942234,sensitive-regular,regular
ratio1_rho4_run05,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio1_rho4_run05\single_body_complete.dat,99.99999999999646,1.0,4.0,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.7305089161226143,0.030000295157010113,0.9999105593617517,0.9991950342557645,40.505797101449275,192.0,0.09692074709742554,0.005208333333333333,9.24112829845314,15.0,4.516675505569923,0.14579043325223434,0.6450681697090747,0.9915825042946187,0.3144716201512374,0.9280018014096043,1.2237801531528416,0.22694485320054017,0.5060939559033869,0.26200844100356724,sensitive-regular,regular
ratio20_rho0p25_run01,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio20_rho0p25_run01\single_body_complete.dat,99.99999999999646,20.0,0.25,1,2001.0,1981.0,3.0,10.0,0.03,50.0,0.796772402400101,0.030000295157010113,0.9995527968087581,0.999105593617516,26.332704995287465,409.0,0.20646138313982837,0.0024449877750611247,9.807374890254609,19.0,4.05049146800701,0.15834012029428465,0.5188616714163875,0.9736736415967921,0.04201266440287844,0.06628156107730188,0.2600920343284977,0.37003858029931425,0.20521135205802354,0.19003710051941075,complex-regular,regular
ratio20_rho0p25_run02,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio20_rho0p25_run02\single_body_complete.dat,99.99999999999646,20.0,0.25,2,2001.0,1981.0,3.0,10.0,0.03,50.0,1.2555363829822768,0.030000295157010113,0.9990340411069173,0.9986226141709748,20.495045871559633,215.0,0.10853104492680464,0.004651162790697674,9.831117372545567,28.0,3.771398175005156,0.3560204173986964,0.2860945875385214,0.7566398568803351,0.2806536021830417,0.9430746485781413,1.0919857309130372,0.47220124885990455,0.7039828155776691,0.614476053116195,chaotic-like,chaotic-candidate
ratio20_rho0p25_run03,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio20_rho0p25_run03\single_body_complete.dat,99.99999999999646,20.0,0.25,3,2001.0,1981.0,3.0,10.0,0.03,50.0,1.8807377263004497,0.030000295157010113,0.9986405022986244,0.9985957819795002,18.196544980443285,281.0,0.14184755174154468,0.0035587188612099642,8.765033757261737,22.0,3.7082348160304757,0.5283346989255424,0.10262158623724303,0.41834182620820015,0.37817844759776725,0.9039076940473543,1.5123311373777393,0.5657383827930373,0.8502741569586525,0.8680066971073912,chaotic-like,chaotic-candidate
ratio20_rho0p25_run04,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio20_rho0p25_run04\single_body_complete.dat,99.99999999999646,20.0,0.25,4,2001.0,1981.0,3.0,10.0,0.03,50.0,1.8365968904295453,0.030000295157010113,0.9981932991073824,0.9978892009373379,16.039666570853694,228.0,0.11509338717819283,0.0043859649122807015,8.085954486157414,44.0,3.588618925668377,0.5235653120267193,0.11395214025753106,0.3966058249483373,0.34382643896172643,0.9088522268940702,1.364983425974289,0.7072906087893635,0.8752939990133415,0.8872667698533576,chaotic-like,chaotic-candidate
ratio20_rho0p25_run05,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio20_rho0p25_run05\single_body_complete.dat,99.99999999999646,20.0,0.25,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.9265553735956973,0.030000295157010113,0.9899647603885301,0.9955637443428796,8.48413306760693,286.0,0.14437152953054014,0.0034965034965034965,8.950627211321969,46.0,2.4111070758191735,0.2045067499221896,0.43605813839004853,0.9232414407449511,0.2936768954008248,0.9743080422749356,0.9397274515268434,0.32993981211780726,0.5094048537377585,0.3215896103543255,chaotic-like,chaotic-candidate
ratio1_rho4_run01,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run01\exact_added_mass.csv,99.9999999999453,1.0,4.0,1,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0499000263152996,0.030000295157010113,0.9998747831064523,0.999830062787328,34.91317926296065,613.0,0.309439676930843,0.0016313213703099511,18.103157894736842,36.0,4.328471041918363,0.20075214947751632,0.44500977219222815,0.9757862891441103,0.15609900348091077,0.967017837466416,0.5535941052630796,0.5457246579112294,0.2121682631798822,0.1369650787052183,quasi-periodic,regular
ratio1_rho4_run02,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run02\exact_added_mass.csv,99.9999999999453,1.0,4.0,2,2001.0,1981.0,3.0,10.0,0.03,50.0,0.9869597157908777,0.030000295157010113,0.9999821118723503,0.999221866447239,48.737576285963385,156.0,0.07874810701665826,0.00641025641025641,10.742211538461538,19.0,4.644788974702232,0.20111505158909138,0.526057861274625,0.9696580016219809,0.4075757773852448,0.9536854672148255,1.4606815606324877,0.2729982841021994,0.5539733880020006,0.3277008814208317,sensitive-regular,regular
