family,suite,epsilon,n_runs,n_complete,n_ok,n_body_observations,group_class,repeat_classes,body_broadband_chaos_score_mean,body_chaos_score_mean,body_spectral_entropy_mean,mean_max_abs_ke_drift_pct,mean_min_separation,mean_max_impulse_global_p_drift,mean_max_impulse_global_h_drift,n_periodic,n_quasi-periodic,n_sensitive-regular,n_complex-regular,n_chaotic-like,n_chaotic,n_chaotic-candidate,n_ambiguous,n_mixed,n_incomplete
spheroid_oblate,homogeneous,0.001,10,10,10,20,mixed,chaotic-like;chaotic-like;complex-regular;periodic;quasi-periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.713630664538,0.714759830084,0.499252168387,153.608485274,7.79996196245,1.22170449791e-08,0.0631730667115,3,1,0,1,15,0,0,0,0,0
spheroid_oblate,homogeneous,0.003,10,10,10,20,mixed,chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;complex-regular;periodic;periodic;quasi-periodic;chaotic-like;chaotic-like;chaotic-like,0.633462157566,0.641813048742,0.454182238196,174.025789383,7.48004655306,2.05622602313e-08,0.0597966031159,3,1,0,1,15,0,0,0,0,0
spheroid_oblate,homogeneous,0.01,10,10,10,20,mixed,periodic;periodic;chaotic-like;chaotic-like;periodic;complex-regular;chaotic-like;chaotic-like;periodic;chaotic-like;quasi-periodic;periodic;periodic;periodic;periodic;periodic;periodic;periodic;chaotic-like;periodic,0.332375377536,0.335542237573,0.306793579399,153.696713096,7.02825539773,2.27560335303e-08,0.168886145137,12,1,0,1,6,0,0,0,0,0
spheroid_oblate,homogeneous,0.03,10,10,10,20,mixed,periodic;periodic;periodic;chaotic-like;periodic;quasi-periodic;complex-regular;periodic;quasi-periodic;quasi-periodic;periodic;periodic;periodic;ambiguous;periodic;periodic;periodic;periodic;complex-regular;chaotic-like,0.263200439816,0.24809565535,0.322415608379,789.990807448,6.28982735259,0.0362976199018,40.1796691961,12,3,0,2,2,0,0,1,0,0
spheroid_oblate,homogeneous,0.1,10,10,10,20,periodic,periodic;quasi-periodic;periodic;periodic;complex-regular;complex-regular;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;quasi-periodic;quasi-periodic;periodic,0.230627201006,0.190471391556,0.337342974571,184.33912745,7.05705023538,0.0187847726884,5.23116252075,11,7,0,2,0,0,0,0,0,0
spheroid_oblate,homogeneous,0.3,10,10,10,20,quasi-periodic,quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;complex-regular;quasi-periodic;quasi-periodic;periodic;quasi-periodic;periodic;complex-regular;quasi-periodic;periodic;periodic;complex-regular;complex-regular,0.255240492732,0.210542162389,0.368237800542,1.38002806798,7.17821931865,6.46027982659e-09,0.0099340497661,4,12,0,4,0,0,0,0,0,0
spheroid_oblate,homogeneous,1.0,10,10,10,20,quasi-periodic,quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;complex-regular;quasi-periodic;quasi-periodic;complex-regular;complex-regular;complex-regular;quasi-periodic;complex-regular;complex-regular;complex-regular;complex-regular;quasi-periodic;quasi-periodic;quasi-periodic;complex-regular;quasi-periodic,0.223691087549,0.18759919158,0.349363295123,0.736501838306,7.39964365034,1.17023635259e-09,0.00174056295488,0,11,0,9,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.0,10,10,10,20,periodic,periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;periodic,0.147365387392,0.115939123316,0.250997229212,0.827203685548,7.80983133035,8.08167599827e-09,0.00534939073969,16,4,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.0001,10,10,10,20,periodic,complex-regular;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic,0.146927665744,0.117974384594,0.250342068254,0.788957476012,7.69620498652,4.47288647786e-09,0.00619505710353,14,5,0,1,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.0003,10,10,10,20,periodic,periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic,0.145962992487,0.118935135694,0.25013138701,1.06467537188,7.12381882521,5.30667388972e-09,0.0038501126982,16,4,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.001,10,10,10,20,periodic,periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic,0.139492350002,0.113750091383,0.239084361676,0.956067131588,7.23378494403,4.23118741601e-09,0.00591791613111,16,4,0,0,0,0,0,0,0,0
