name,shape_name,rho,energy_ratio,separation,repeat,status,class_body1,class_body2,class_combined,class_consensus,body1_recurrence_rate,body1_recurrence_epsilon,body1_determinism,body1_lmax_fraction,body1_mean_diag,body1_diag_entropy,body1_nearest_distance,body1_return_cv,body1_spectral_entropy,body1_peak_fraction,body1_class,body2_recurrence_rate,body2_recurrence_epsilon,body2_determinism,body2_lmax_fraction,body2_mean_diag,body2_diag_entropy,body2_nearest_distance,body2_return_cv,body2_spectral_entropy,body2_peak_fraction,body2_class,combined_recurrence_rate,combined_recurrence_epsilon,combined_determinism,combined_lmax_fraction,combined_mean_diag,combined_diag_entropy,combined_nearest_distance,combined_return_cv,combined_spectral_entropy,combined_peak_fraction,combined_class
spheroid_1_0p7_0p7_rho0p03_E0p25_sep8_run01,spheroid_1_0p7_0p7,0.03,0.25,8.0,1,ok,chaotic,ambiguous,ambiguous,ambiguous,0.030001041702836902,3.019031423511484,0.8165123456790123,0.19795918367346937,29.977337110481585,3.809092871975294,1.6270796978939068,0.7901788208016672,0.6960111380256159,0.37008559427483045,chaotic,0.030001041702836902,2.280182633786735,0.9081018518518519,0.07857142857142857,22.85242718446602,3.784193504493625,1.548569041847255,0.7042943879990006,0.3836387315587833,0.7841780277553554,ambiguous,0.030001041702836902,4.172156841415192,0.770216049382716,0.12551020408163266,25.79328165374677,3.7845052349198745,2.1105043223148865,0.4371500862870817,0.5871369864211097,0.5366590140120124,ambiguous
spheroid_1_0p7_0p7_rho0p03_E0p25_sep8_run02,spheroid_1_0p7_0p7,0.03,0.25,8.0,2,ok,ambiguous,ambiguous,ambiguous,ambiguous,0.030001041702836902,2.213365815891985,0.8698302469135802,0.08877551020408163,20.875925925925927,3.711349244949923,0.9569170868925729,0.5287516816087325,0.4404394750340917,0.7089903516184592,ambiguous,0.030001041702836902,2.3401050418134317,0.9120370370370371,0.5183673469387755,45.46153846153846,4.179291254270965,0.585669454729513,0.5954361925508123,0.44175439773425484,0.7662330361603724,ambiguous,0.030001041702836902,4.493310680838224,0.3934413580246914,0.10408163265306122,22.073593073593074,3.6265387538616616,2.972930738410029,0.42564999756102845,0.5023531297255848,0.5845125591042454,ambiguous
spheroid_1_0p7_0p7_rho0p03_E4_sep3_run01,spheroid_1_0p7_0p7,0.03,4.0,3.0,1,ok,quasi-periodic,quasi-periodic,ambiguous,quasi-periodic,0.030001041702836902,2.3353930856869316,0.9977623456790123,0.46122448979591835,62.771844660194176,3.952336927702453,0.5682673901467254,0.12143989646507641,0.32235450143757677,0.9642447938800033,quasi-periodic,0.030001041702836902,1.6695532113855491,0.8752314814814814,0.4479591836734694,16.955156950672645,2.158529474665362,0.3512196466948809,0.5635443967255945,0.32582715033699516,0.9175670330101773,quasi-periodic,0.030001041702836902,4.696974851148836,0.819212962962963,0.3326530612244898,8.96706081081081,2.075884286397429,3.9380220892723012,0.38018359615385416,0.4198949842574783,0.8098758494159386,ambiguous
spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02,spheroid_1_0p7_0p7,0.03,4.0,3.0,2,ok,quasi-periodic,quasi-periodic,ambiguous,quasi-periodic,0.030001041702836902,2.494450469772512,0.9271604938271605,0.3806122448979592,22.97514340344168,2.1772347362327444,0.4681588060295069,0.10033628399448626,0.33314670606030716,0.9583396719329305,quasi-periodic,0.030001041702836902,2.2458227759836196,0.9387345679012346,0.7030612244897959,21.881294964028775,2.565063664141841,0.860777438034464,0.31212980321548073,0.3498126905655583,0.947179499739264,quasi-periodic,0.030001041702836902,4.5594208293620975,0.6087962962962963,0.35612244897959183,6.766723842195541,1.4793599233176424,3.222401136242549,0.31359231958766226,0.3935055388196618,0.8337769084482203,ambiguous
spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01,spheroid_1_0p7_0p7,0.03,4.0,8.0,1,ok,quasi-periodic,quasi-periodic,ambiguous,quasi-periodic,0.030001041702836902,1.5300404741405014,0.9734567901234568,0.4959183673469388,27.54585152838428,2.7142255081222455,0.29845618599998225,0.38257915719541613,0.25787050477809126,0.9834093114013058,quasi-periodic,0.030001041702836902,1.9684089326954788,0.9320216049382716,0.6826530612244898,20.098169717138102,2.3034043758182836,0.40411285946462094,0.5532384518235574,0.35693185968591834,0.9261579218685588,quasi-periodic,0.030001041702836902,3.9095071542565965,0.7128858024691358,0.4704081632653061,9.111439842209073,1.7032213133298222,2.478758772838991,0.38849939892436286,0.35873803679995875,0.9268846387250904,ambiguous
spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02,spheroid_1_0p7_0p7,0.03,4.0,8.0,2,ok,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.9368667308325513,0.9457561728395062,0.5448979591836735,21.503508771929823,2.201705198565705,0.4160485782453815,0.32202894157725626,0.25488395647849105,0.9675801616116056,quasi-periodic,0.030001041702836902,1.7394713537344395,0.9942129629629629,0.28877551020408165,62.2463768115942,4.217516669668481,0.4107976564348803,0.5295810266053972,0.2952486307564669,0.9514244709532023,quasi-periodic,0.030001041702836902,4.643631995216351,0.9335648148148148,0.7653061224489796,14.900246305418719,2.1686894650999564,3.3917090087595576,0.15839548657121716,0.3455625924292242,0.9265645300345615,quasi-periodic
spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01,spheroid_1_0p7_0p7,0.03,16.0,3.0,1,ok,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.984295663926445,0.9979166666666667,0.5183673469387755,101.83464566929133,3.5210852338466134,0.7407255463664382,0.023739230335080814,0.22199446327984812,0.9932749635899714,quasi-periodic,0.030001041702836902,2.484395838230514,0.9815586419753086,0.9479591836734694,37.86011904761905,2.7865891589545315,1.3251956099516597,1.0308816176659112,0.22617382423830673,0.9982879282716682,quasi-periodic,0.030001041702836902,4.215567648347469,0.9878086419753086,0.9479591836734694,47.76865671641791,3.160218952483006,3.1577889926486957,0.02353804633087718,0.3461709832741264,0.9214524403134058,quasi-periodic
spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02,spheroid_1_0p7_0p7,0.03,16.0,3.0,2,ok,quasi-periodic,periodic,quasi-periodic,quasi-periodic,0.030001041702836902,2.3926364944469025,0.9676697530864198,0.5714285714285714,32.74412532637076,2.5624589417491586,0.30593169512430446,0.0016871336208278886,0.321190147050809,0.9882344270606405,quasi-periodic,0.030001041702836902,2.038499135341288,0.9727623456790123,0.926530612244898,30.160287081339714,2.3950571071935056,0.9041110326899082,0.006332189965271928,0.2068364404398737,0.9991862888084873,periodic,0.030001041702836902,4.094999484172015,0.8891203703703704,0.9295918367346939,13.260069044879172,1.9231761132083645,2.4448705871131486,0.0056605798367913695,0.31366890863150987,0.9662851529657052,quasi-periodic
spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01,spheroid_1_0p7_0p7,0.03,16.0,8.0,1,ok,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.922072435478397,0.9936728395061728,0.9377551020408164,119.24074074074075,2.9285388894069944,0.7773602436478837,0.00794032365869546,0.22469689084789485,0.9972478008816318,quasi-periodic,0.030001041702836902,2.426488160817938,0.962037037037037,0.513265306122449,28.530892448512585,2.0445114883792423,0.2511315755444111,0.012220230285033017,0.29708785751758177,0.9922477921195997,quasi-periodic,0.030001041702836902,4.223124681872662,0.9145061728395062,0.939795918367347,18.177914110429448,1.808094962828267,1.7305579704278307,0.0,0.3560271414942396,0.9225763265856182,quasi-periodic
spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02,spheroid_1_0p7_0p7,0.03,16.0,8.0,2,ok,quasi-periodic,quasi-periodic,ambiguous,quasi-periodic,0.030001041702836902,2.1468308535918643,0.964891975308642,0.8295918367346938,28.227990970654627,2.5195585988404012,0.3791459212154582,0.14604616826682132,0.3328897001667163,0.9450599333016013,quasi-periodic,0.030001041702836902,2.0204602865713754,0.9477623456790123,0.3979591836734694,27.235033259423503,2.774925203556725,0.6223684964474099,0.24000856682674718,0.3414858691322148,0.9512342752652508,quasi-periodic,0.030001041702836902,5.281266713583538,0.8680555555555556,0.07142857142857142,8.284241531664213,2.124056279836808,4.053416741496523,0.9257747511517747,0.41265894681955156,0.7580100049156495,ambiguous
