index,name,shape_name,rho,energy_ratio,separation,repeat,solver_mode,ndiv,dt,tend,input,output
26,ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,5.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run01_impulse_noproj/multiple_body_complete.dat
27,ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,5.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run02_impulse_noproj/multiple_body_complete.dat
28,ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,5.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run03_impulse_noproj/multiple_body_complete.dat
29,ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,5.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run04_impulse_noproj/multiple_body_complete.dat
30,ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,5.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep5_run05_impulse_noproj/multiple_body_complete.dat
31,ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,8.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run01_impulse_noproj/multiple_body_complete.dat
32,ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,8.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run02_impulse_noproj/multiple_body_complete.dat
33,ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,8.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run03_impulse_noproj/multiple_body_complete.dat
34,ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,8.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run04_impulse_noproj/multiple_body_complete.dat
35,ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,8.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep8_run05_impulse_noproj/multiple_body_complete.dat
36,ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,11.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run01_impulse_noproj/multiple_body_complete.dat
37,ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,11.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run02_impulse_noproj/multiple_body_complete.dat
38,ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,11.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run03_impulse_noproj/multiple_body_complete.dat
39,ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,11.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run04_impulse_noproj/multiple_body_complete.dat
